Ticker,Initial_Value,Final_Value,CAGR
NTHOL.IS,100.0,1894.6153895530476,0.6478934748822116
TRIP.BA,100.0,896.3061860258122,0.4512145105212919
PROCLB.BO,100.0,598.1928014966368,0.35491270934460895
2745.TWO,100.0,573.4328084073726,0.34522190792019103
2743.TWO,100.0,553.3529813157938,0.3371043634202744
603099.SS,100.0,533.6385793844605,0.32889303877953413
YAANENT.BO,100.0,528.8154566071871,0.32684585772972174
RBW.WA,100.0,461.11014363236933,0.2963348058410271
FLAP.IS,100.0,431.5601320644594,0.28183766047372494
MY1.BE,100.0,313.03922453186976,0.21382204131005356
038390.KQ,100.0,265.45531544768346,0.18030909787627114
YELO.JK,100.0,260.5965900074078,0.17661251279083534
2719.TWO,100.0,259.6246144138709,0.17586616146306833
THOMASCOOK.BO,100.0,250.23876908301602,0.16853708340585505
2731.TW,100.0,247.9087508097203,0.1666823480942885
PANR.JK,100.0,240.00345011515577,0.1602798013184581
BKNG,100.0,224.1030165494692,0.1468528064735355
EXPE,100.0,214.0425074903603,0.13794290488903038
000888.SZ,100.0,202.21540339868628,0.12701243296824605
5706.TW,100.0,200.76534051097755,0.12563602366346172
RCL.MX,100.0,185.8691858008429,0.11099650442741305
2734.TWO,100.0,180.5091722743389,0.10548993575310406
AVIA.TA,100.0,180.3391223488101,0.10531302604248705
9376.T,100.0,177.17935784814162,0.10200033442799517
000524.SZ,100.0,163.981468713447,0.08760994685034751
603199.SS,100.0,159.77996488914573,0.0828269476932133
0780.HK,100.0,157.7037675628119,0.08042474290324009
6242.TWO,100.0,155.81475040411198,0.07821618885792914
ISTA.TA,100.0,151.52717609020522,0.07311965115440366
TNL,100.0,148.36168086117337,0.0692795098646688
BAYU.JK,100.0,143.47865113795382,0.06322021316657156
1810.SR,100.0,136.19909439778922,0.05386120826023366
002159.SZ,100.0,129.66382977676406,0.04509838072186856
6882.HK,100.0,128.4784238723008,0.043469799492501515
600706.SS,100.0,117.98207896385571,0.0284772865100964
HSW.IR,100.0,115.76696176879287,0.025172558601525896
002707.SZ,100.0,109.79462706211358,0.0159933401666712
039130.KS,100.0,106.94774228807815,0.01147110241819882
9726.T,100.0,104.03005464480874,0.006731482611316952
094850.KQ,100.0,104.01062521097128,0.006699552645367923
AI3A.F,100.0,90.13819555969577,-0.01747567661114202
EDR.MC,100.0,85.58139310520114,-0.026092538249463004
0071.HK,100.0,83.3442761677916,-0.030463123717737184
1481.KL,100.0,82.8574663620754,-0.031427070690850156
6561.T,100.0,82.47543712179618,-0.03218683665086852
SONA.JK,100.0,81.00418410041841,-0.03514037950989335
000796.SZ,100.0,80.76502923037958,-0.035624684110857285
JET2.L,100.0,76.5191744844993,-0.04442750257903172
LIND,100.0,71.04938078282764,-0.05638630663115285
PDES.JK,100.0,69.44444444444444,-0.060040161675702364
CTMLF,100.0,69.38642436451947,-0.06017356006785968
1235.HK,100.0,64.16666560426913,-0.0725719336989431
080160.KQ,100.0,63.823788953251004,-0.0734153148106349
AHEB3.SA,100.0,63.81873468207464,-0.07342777501499054
8668.HK,100.0,59.627330284796365,-0.08405465857603989
0487.HK,100.0,56.71641652732969,-0.09180609389390704
ONVC,100.0,55.88235067248763,-0.09408794281176769
TRN.L,100.0,50.11904883006263,-0.11067795843400419
CCL,100.0,49.92304876997622,-0.11126947697925371
PRSU,100.0,48.163565179608035,-0.11666768548435313
HLO.AX,100.0,46.538902926026616,-0.12179965053461062
039310.KQ,100.0,45.5609756097561,-0.12496086840009035
TENG.L,100.0,43.866171003717476,-0.1305753870362487
1Q7.SG,100.0,43.61111372341352,-0.13143586628188342
6577.T,100.0,42.64004824983218,-0.1347506376082822
1620.HK,100.0,42.33151563388799,-0.13581694576897463
WEB.AX,100.0,41.67337112333712,-0.13811327157425335
9603.T,100.0,41.50557523882328,-0.1387035402342921
6191.T,100.0,40.05822624759107,-0.14387896234743436
6030.T,100.0,38.371205713593234,-0.15011110992860954
OTB.L,100.0,37.94811506767806,-0.15170969803375556
09B.BE,100.0,36.34092429558704,-0.157920391159581
FLT.AX,100.0,32.22343073381329,-0.174940564284647
NTU.WA,100.0,31.99999945504325,-0.17591479257716847
TOUR,100.0,31.829047130592166,-0.17666401734085635
NCLHN.MX,100.0,30.547818012999073,-0.182388116893765
1901.HK,100.0,29.66138478623206,-0.18646620111857481
0022.KL,100.0,27.586207073735576,-0.19642420246222725
SOS.MI,100.0,24.898326283697205,-0.21029147048103158
7048.T,100.0,14.921681780708987,-0.2760470530865645
TRZ.TO,100.0,13.094501640684983,-0.29192783676072775
1701.HK,100.0,12.558139651739769,-0.2969386164525071
MHM.PA,100.0,10.570469650995205,-0.3172108965606053
6548.T,100.0,8.153846153846153,-0.3466525620287838
HWGG,100.0,7.333333333333333,-0.35831364942529353
TUIFF,100.0,6.747153338778424,-0.36732726023162277
CVCB3.SA,100.0,5.3460673165712205,-0.39184509563355385
8069.HK,100.0,3.364485671545446,-0.4378349950489391
NTRP,100.0,1.8779342420265317,-0.4908300760382185
JAY.AX,100.0,1.7872355132092816,-0.49509208470584054
